"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"84",457727,"Cameron Maybin","566","14.8","0.440","0.262","0.405","0.702","0.487","0.425","0.367","37","84","90.5","12.0","2271","90.5","90.28","0","84","0","-0.2","6.10","106","150","110","146","304","321","283"
"228",519058,"Mike Moustakas","1236","18.4","0.351","0.377","0.278","0.728","0.452","0.426","0.345","80","228","90.5","17.8","2249","88.9","88.69","0","228","0","-0.2","6.06","114","159","124","151","297","323","301"
"2",642701,"Dennis Santana","9","22.2","0.500","0.000","0.500","0.500","0.440","0.488","0.525","1","2","90.4","7.0","2397","88.5","87.22","0","2","0","-1.3","5.25","114","154","117","150","298","307","282"
"223",543068,"C.J. Cron","1191","18.7","0.348","0.303","0.291","0.652","0.418","0.449","0.366","77","221","90.4","12.9","2263","87.7","87.18","0","223","0","-0.5","5.93","107","152","119","146","303","325","295"
"192",467092,"Wilson Ramos","872","22.0","0.335","0.178","0.301","0.513","0.361","0.345","0.311","64","191","90.4","0.3","2238","89.2","88.73","0","192","0","-0.5","6.03","110","153","121","150","308","324","295"
"273",606466,"Ketel Marte","1311","20.8","0.376","0.317","0.324","0.694","0.448","0.410","0.356","102","271","90.4","12.1","2206","88.7","88.27","0","273","0","-0.4","5.93","111","149","109","149","299","327","303"
"74",456078,"Welington Castillo","482","15.4","0.284","0.243","0.232","0.527","0.342","0.424","0.337","21","74","90.3","12.5","2255","89.9","89.87","0","74","0","0.0","6.12","109","152","119","146","302","322","291"
"230",605119,"Brian Anderson","1253","18.4","0.329","0.219","0.292","0.548","0.369","0.381","0.333","75","228","90.3","9.8","2262","89.0","88.67","0","230","0","-0.3","6.05","108","150","117","146","307","320","289"
"213",502671,"Paul Goldschmidt","1459","14.6","0.352","0.230","0.307","0.582","0.398","0.424","0.355","75","213","90.3","13.3","2195","89.6","89.49","0","213","0","-0.1","6.14","108","152","119","147","310","328","300"
"117",643265,"Garrett Cooper","714","16.4","0.431","0.241","0.391","0.672","0.467","0.452","0.408","50","116","90.3","2.7","2264","89.9","89.65","0","117","0","-0.3","6.13","111","152","119","147","311","322","291"
"248",621020,"Dansby Swanson","1416","17.5","0.335","0.273","0.284","0.607","0.389","0.434","0.369","81","242","90.3","14.2","2262","89.1","88.89","0","248","0","-0.2","5.99","108","150","110","146","308","323","292"
"132",595751,"Jorge Alfaro","804","16.4","0.402","0.242","0.358","0.644","0.446","0.427","0.366","53","132","90.3","2.3","2270","88.0","87.52","0","132","0","-0.5","5.98","108","150","118","146","307","321","291"
"135",656811,"Ryan O'Hearn","844","16.0","0.261","0.201","0.225","0.463","0.304","0.332","0.282","35","134","90.3","12.2","2181","89.3","88.99","0","135","0","-0.3","6.01","114","153","122","151","296","326","307"
"121",623912,"Harold Ramirez","630","19.2","0.388","0.116","0.378","0.504","0.385","0.345","0.345","47","121","90.3","1.2","2258","89.3","89.02","0","121","0","-0.3","6.07","111","151","115","148","306","316","284"
"84",571506,"Justin Bour","602","14.0","0.277","0.349","0.197","0.627","0.372","0.374","0.295","23","83","90.2","13.6","2227","88.0","87.57","0","84","0","-0.4","5.94","112","161","131","154","302","328","308"
"11",468504,"Jhoulys Chacin","94","11.7","0.273","0.273","0.200","0.545","0.345","0.242","0.224","3","11","90.2","22.6","2285","90.9","90.45","0","11","0","-0.4","5.98","115","152","116","149","291","309","275"
"106",519346,"Eric Thames","914","11.6","0.442","0.385","0.375","0.827","0.525","0.418","0.349","46","104","90.2","16.6","2228","89.1","88.86","0","106","0","-0.2","6.06","115","158","133","152","297","323","304"
"122",592325,"Ben Gamel","863","14.1","0.388","0.207","0.359","0.595","0.416","0.401","0.361","47","121","90.2","9.6","2210","90.8","90.66","0","122","0","-0.1","6.15","116","147","113","149","290","316","299"
"21",669242,"Tommy Edman","107","19.6","0.381","0.286","0.350","0.667","0.441","0.368","0.342","8","21","90.2","13.8","2250","89.4","89.24","0","21","0","-0.2","6.13","114","149","110","150","293","322","300"
"249",543333,"Eric Hosmer","1300","19.2","0.364","0.215","0.326","0.579","0.399","0.388","0.348","90","247","90.1","0.6","2223","89.0","88.59","0","249","0","-0.4","5.98","114","152","121","151","297","327","309"
"42",446308,"Matt Wieters","264","15.9","0.317","0.268","0.256","0.585","0.372","0.354","0.314","13","41","90.1","15.5","2300","90.0","89.81","0","42","0","-0.2","6.09","112","159","123","150","299","326","305"
"149",623520,"David Bote","917","16.2","0.347","0.272","0.300","0.619","0.403","0.376","0.348","51","147","90.1","9.2","2262","87.8","87.56","0","149","0","-0.2","5.98","108","150","115","146","301","324","294"
"1",664854,"Ryan Helsley","6","16.7","1.000","0.000","1.000","1.000","0.880","0.057","0.066","1","1","90.1","-34.0","2122","93.2","92.04","0","1","0","-1.2","5.65","118","148","124","150","290","288","265"
"104",572287,"Mike Zunino","618","16.8","0.269","0.202","0.248","0.471","0.312","0.378","0.312","28","104","90.1","19.5","2272","88.5","87.85","0","104","0","-0.6","5.89","106","150","120","143","299","329","298"
"63",519390,"Stephen Vogt","407","15.5","0.387","0.290","0.371","0.677","0.440","0.394","0.326","24","62","90.1","23.4","2217","88.6","87.97","0","63","0","-0.6","5.83","114","165","127","151","293","324","300"
"14",607333,"Beau Taylor","108","13.0","0.286","0.429","0.167","0.714","0.416","0.492","0.375","4","14","90.1","7.7","2139","89.8","89.06","0","14","0","-0.7","5.71","119","155","122","151","293","320","303"
"55",459964,"Matt Joyce","341","16.1","0.400","0.236","0.377","0.636","0.441","0.406","0.348","22","55","90.1","16.6","2278","90.1","89.80","0","55","0","-0.3","5.99","114","159","127","150","298","324","303"
"203",408234,"Miguel Cabrera","1120","18.1","0.382","0.116","0.362","0.497","0.372","0.378","0.355","76","199","90.0","11.2","2220","88.3","87.71","0","203","0","-0.6","5.91","108","151","120","148","304","329","293"
"68",595375,"JT Riddle","372","18.3","0.294","0.338","0.226","0.632","0.387","0.365","0.290","20","68","90.0","11.7","2250","89.0","88.47","0","68","0","-0.5","5.96","115","149","109","152","295","318","299"
"131",607208,"Trea Turner","736","17.8","0.382","0.282","0.352","0.664","0.441","0.392","0.356","50","131","90.0","8.8","2201","89.8","89.52","0","131","0","-0.3","6.02","106","149","105","146","306","321","296"
"137",640461,"Chad Pinder","671","20.4","0.333","0.237","0.292","0.570","0.377","0.370","0.327","45","135","90.0","8.9","2237","87.3","86.91","0","137","0","-0.4","5.96","105","150","117","146","302","326","290"
"213",429665,"Edwin Encarnacion","1442","14.8","0.300","0.381","0.206","0.681","0.404","0.415","0.320","63","210","90.0","22.9","2263","88.4","88.08","0","213","0","-0.3","5.96","107","152","121","146","300","322","295"
"265",592696,"Eddie Rosario","1152","23.0","0.331","0.289","0.273","0.620","0.398","0.391","0.323","87","263","89.9","16.5","2199","88.5","88.06","0","265","0","-0.4","5.97","114","150","119","149","295","322","300"
"2",668678,"Zac Gallen","15","13.3","0.500","0.000","0.500","0.500","0.440","0.433","0.470","1","2","89.9","-8.0","2156","91.1","91.61","0","2","0","0.5","6.50","123","152","115","150","291","292","266"
"235",519203,"Anthony Rizzo","1382","17.0","0.329","0.308","0.269","0.637","0.405","0.413","0.351","77","234","89.9","12.9","2212","88.6","88.27","0","235","0","-0.3","6.02","115","162","124","151","296","327","303"
"89",452095,"Tyler Flowers","652","13.7","0.420","0.330","0.366","0.750","0.489","0.439","0.351","37","88","89.9","10.3","2233","89.3","89.09","0","89","0","-0.2","5.99","109","152","118","147","310","325","295"
"141",621043,"Carlos Correa","855","16.5","0.406","0.348","0.346","0.754","0.478","0.492","0.411","56","138","89.9","9.7","2254","87.4","86.82","0","141","0","-0.6","5.93","105","150","117","146","299","329","291"
"36",595453,"Chad Wallach","219","16.4","0.333","0.167","0.314","0.500","0.356","0.452","0.356","12","36","89.9","12.7","2331","90.3","90.08","0","36","0","-0.2","6.14","110","153","118","146","307","323","288"
"150",543510,"James McCann","938","16.0","0.440","0.273","0.404","0.713","0.491","0.442","0.376","66","150","89.9","9.7","2255","88.1","87.89","0","150","0","-0.2","6.08","106","150","117","145","301","323","291"
"12",621550,"Patrick Wisdom","118","10.2","0.364","0.091","0.364","0.455","0.353","0.376","0.334","4","11","89.9","16.8","2283","84.1","83.64","0","12","0","-0.5","5.93","104","152","120","146","298","318","291"
"215",444482,"David Peralta","1134","19.0","0.383","0.257","0.354","0.640","0.431","0.356","0.334","82","214","89.9","6.7","2212","88.5","88.10","0","215","0","-0.4","5.97","113","150","118","150","298","326","307"
"214",657656,"Ramon Laureano","1275","16.8","0.365","0.261","0.318","0.626","0.414","0.412","0.365","77","211","89.9","15.2","2260","88.0","87.50","0","214","0","-0.5","5.93","106","150","113","144","301","322","289"
"17",664247,"Kyle Garlick","110","15.5","0.471","0.471","0.400","0.941","0.593","0.441","0.346","8","17","89.8","24.8","2343","88.5","88.06","0","17","0","-0.4","5.82","110","150","117","145","301","326","299"
"124",467055,"Pablo Sandoval","677","18.3","0.380","0.380","0.319","0.760","0.470","0.471","0.388","46","121","89.8","12.0","2202","88.6","88.10","0","124","0","-0.5","5.88","113","156","120","148","294","324","304"
"181",596847,"Ji-Man Choi","1078","16.8","0.345","0.215","0.302","0.559","0.376","0.378","0.335","61","177","89.8","10.9","2209","88.2","87.63","0","181","0","-0.6","5.94","113","159","124","151","291","326","304"
"187",446334,"Evan Longoria","1063","17.6","0.290","0.199","0.261","0.489","0.328","0.384","0.330","54","186","89.8","14.7","2216","88.8","88.39","0","187","0","-0.4","5.89","107","153","118","145","305","324","294"
"50",642721,"Kelvin Gutierrez","314","15.9","0.388","0.143","0.367","0.531","0.386","0.316","0.300","19","49","89.8","-2.0","2305","89.3","89.04","0","50","0","-0.3","5.98","107","149","115","145","302","324","295"
"214",596748,"Maikel Franco","914","23.4","0.254","0.221","0.208","0.474","0.305","0.341","0.289","54","213","89.8","14.7","2243","89.4","89.15","0","214","0","-0.2","6.08","108","152","118","146","302","324","298"
"74",607461,"Matt Beaty","326","22.7","0.338","0.149","0.319","0.486","0.353","0.364","0.345","25","74","89.7","6.6","2243","89.5","89.36","0","74","0","-0.1","5.99","116","151","120","153","295","323","304"
"133",592387,"Ryon Healy","708","18.8","0.310","0.287","0.262","0.597","0.369","0.371","0.307","40","129","89.7","16.7","2258","88.5","88.16","0","133","0","-0.3","5.97","106","153","119","146","300","321","293"
"73",448602,"Mark Reynolds","584","12.5","0.271","0.271","0.217","0.543","0.327","0.341","0.286","19","70","89.7","17.9","2238","86.9","86.56","0","73","0","-0.3","5.85","106","150","118","145","309","334","301"
"235",642708,"Amed Rosario","1224","19.2","0.333","0.212","0.304","0.545","0.369","0.388","0.364","77","231","89.7","9.3","2241","88.2","87.88","0","235","0","-0.3","6.03","105","150","108","147","306","321","289"
"2",572971,"Dallas Keuchel","16","12.5","0.500","0.000","0.500","0.500","0.440","0.211","0.233","1","2","89.7","-12.5","2387","93.0","93.32","0","2","0","0.3","6.37","120","153","107","151","279","306","295"
"179",501981,"Khris Davis","1038","17.2","0.352","0.302","0.288","0.654","0.425","0.433","0.353","63","179","89.7","12.8","2263","87.2","86.61","0","179","0","-0.6","5.87","107","152","120","145","306","330","299"
"159",665489,"Vladimir Guerrero Jr.","868","18.3","0.316","0.196","0.283","0.513","0.350","0.391","0.344","50","158","89.7","6.4","2212","88.5","88.06","0","159","0","-0.4","5.96","107","152","121","147","305","334","301"
"5",434658,"Rajai Davis","29","17.2","0.400","0.600","0.250","1.000","0.582","0.379","0.264","2","5","89.7","-2.0","2360","90.3","89.59","0","5","0","-0.7","6.14","101","149","105","147","309","331","285"
"210",541645,"Avisail Garcia","1071","19.6","0.368","0.230","0.332","0.598","0.409","0.423","0.364","77","209","89.7","10.3","2259","88.4","87.83","0","210","0","-0.6","5.94","108","153","120","146","304","329","294"
"178",457803,"Jay Bruce","991","18.0","0.320","0.451","0.223","0.771","0.446","0.436","0.325","56","175","89.7","23.6","2185","88.7","88.38","0","178","0","-0.3","6.03","117","167","132","152","297","323","300"
"222",608577,"Nomar Mazara","1272","17.5","0.350","0.245","0.310","0.595","0.397","0.426","0.364","77","220","89.6","9.3","2205","88.2","87.62","0","222","0","-0.6","5.88","114","153","124","149","295","325","304"
"121",666971,"Lourdes Gurriel Jr.","648","18.7","0.425","0.467","0.346","0.892","0.546","0.468","0.369","51","120","89.6","14.4","2293","87.8","87.23","0","121","0","-0.6","5.92","106","150","116","145","297","326","295"
"117",664068,"Scott Kingery","737","15.9","0.453","0.393","0.402","0.846","0.547","0.448","0.380","53","117","89.6","16.4","2224","88.7","88.54","0","117","0","-0.2","6.09","107","152","112","147","302","320","290"
"183",596129,"Daniel Vogelbach","1361","13.4","0.337","0.376","0.256","0.713","0.435","0.429","0.343","61","181","89.6","19.7","2167","88.6","88.22","0","183","0","-0.4","5.96","118","162","133","153","294","321","303"
"233",641820,"Trey Mancini","1318","17.7","0.383","0.317","0.329","0.700","0.451","0.440","0.373","88","230","89.5","7.9","2248","88.6","88.12","0","233","0","-0.5","5.93","108","150","119","147","304","324","290"
"200",572228,"Luke Voit","1350","14.8","0.392","0.322","0.333","0.714","0.465","0.463","0.368","78","199","89.5","12.5","2285","88.3","87.77","0","200","0","-0.5","5.89","107","154","120","146","310","329","295"
"35",607732,"Jacob Stallings","167","21.0","0.429","0.114","0.412","0.543","0.421","0.439","0.425","15","35","89.5","13.1","2243","88.7","88.41","0","35","0","-0.3","5.96","106","150","114","146","307","319","288"
"104",570256,"Gregory Polanco","679","15.3","0.356","0.269","0.316","0.625","0.414","0.386","0.332","37","104","89.5","18.5","2122","89.4","88.98","0","104","0","-0.4","5.94","114","151","121","151","299","326","304"
"176",543877,"Christian Vazquez","882","20.0","0.362","0.236","0.321","0.598","0.405","0.359","0.314","63","174","89.5","11.7","2223","89.0","88.65","0","176","0","-0.3","6.04","107","150","118","148","293","318","287"
"67",607345,"Kevan Smith","343","19.5","0.358","0.209","0.338","0.567","0.393","0.378","0.335","24","67","89.5","4.3","2279","87.3","86.81","0","67","0","-0.5","6.01","108","152","119","146","309","321","288"
"175",592743,"Andrelton Simmons","606","28.9","0.326","0.126","0.314","0.451","0.334","0.280","0.271","57","175","89.5","8.3","2265","88.2","87.64","0","175","0","-0.6","5.92","104","150","112","144","305","322","292"
"129",542583,"Jesus Aguilar","823","15.7","0.286","0.159","0.250","0.444","0.304","0.373","0.328","36","126","89.4","13.5","2255","88.0","87.67","0","129","0","-0.3","6.02","108","152","119","147","303","323","295"
"222",570267,"Domingo Santana","1515","14.7","0.409","0.323","0.356","0.732","0.478","0.505","0.409","90","220","89.4","12.7","2208","88.0","87.66","0","222","0","-0.3","6.00","109","151","120","146","300","320","293"
"205",656555,"Rhys Hoskins","1616","12.7","0.374","0.365","0.310","0.739","0.463","0.391","0.321","76","203","89.4","24.6","2266","89.6","89.34","0","205","0","-0.3","6.08","108","153","118","145","303","327","301"
"273",571448,"Nolan Arenado","1274","21.4","0.375","0.309","0.320","0.684","0.441","0.366","0.321","101","269","89.4","16.5","2312","88.8","88.60","0","273","0","-0.2","5.96","108","152","119","147","312","334","305"
"46",595909,"Jake Cave","335","13.7","0.283","0.109","0.267","0.391","0.290","0.392","0.375","13","46","89.4","4.9","2073","87.0","86.62","0","46","0","-0.4","5.97","110","148","112","149","294","320","302"
"164",500874,"Jose Martinez","992","16.5","0.362","0.147","0.340","0.509","0.372","0.436","0.386","59","163","89.4","8.2","2279","88.3","88.04","0","164","0","-0.3","6.05","110","151","119","148","310","327","297"
"104",571431,"Matt Adams","622","16.7","0.369","0.427","0.283","0.796","0.483","0.501","0.375","38","103","89.4","17.3","2171","89.8","89.52","0","104","0","-0.3","6.01","115","167","124","152","304","326","306"
"197",665742,"Juan Soto","1289","15.3","0.405","0.323","0.355","0.728","0.473","0.446","0.369","79","195","89.4","10.1","2200","88.9","88.57","0","197","0","-0.3","6.01","116","148","116","150","299","324","308"
"24",642082,"Chance Sisco","202","11.9","0.458","0.583","0.381","1.042","0.624","0.575","0.474","11","24","89.3","19.0","2315","88.9","88.29","0","24","0","-0.6","5.83","119","152","120","154","291","322","299"
"208",624577,"Yasiel Puig","1048","19.8","0.325","0.301","0.262","0.626","0.397","0.415","0.345","67","206","89.3","18.1","2277","89.8","89.60","0","208","0","-0.2","6.09","108","150","117","145","302","324","295"
"1",608371,"Lucas Sims","9","11.1","0.000","0.000","0.000","0.000","0.000","0.012","0.010","0","1","89.3","55.0","2387","94.5","95.82","0","1","0","1.3","6.61","119","146","113","148","286","335","263"
"186",608385,"Jesse Winker","1034","18.0","0.312","0.263","0.264","0.575","0.374","0.372","0.324","58","186","89.3","5.7","2234","88.0","87.72","0","186","0","-0.3","6.06","116","152","120","150","292","320","300"
"225",643446,"Jeff McNeil","1022","22.0","0.391","0.182","0.374","0.573","0.412","0.380","0.354","88","225","89.3","13.1","2187","89.3","88.79","0","225","0","-0.5","5.96","114","150","107","152","290","321","300"
"78",519222,"Austin Romine","372","21.0","0.286","0.117","0.267","0.403","0.296","0.298","0.270","22","77","89.2","10.8","2253","86.8","86.20","0","78","0","-0.6","5.82","109","150","117","146","302","317","280"
"128",547379,"Roberto Perez","913","14.0","0.363","0.371","0.277","0.734","0.454","0.466","0.367","45","124","89.2","5.8","2250","89.2","88.98","0","128","0","-0.2","6.05","108","149","115","145","296","319","292"
"158",621439,"Byron Buxton","791","20.0","0.353","0.346","0.313","0.699","0.439","0.379","0.326","55","156","89.2","18.9","2302","88.3","87.66","0","158","0","-0.6","5.92","100","148","104","142","298","319","289"
"180",592348,"Niko Goodrum","1259","14.3","0.337","0.225","0.310","0.562","0.376","0.406","0.361","60","178","89.2","14.8","2189","88.4","87.96","0","180","0","-0.4","5.94","113","150","119","147","293","323","294"
"210",553993,"Eugenio Suarez","1356","15.5","0.340","0.301","0.278","0.641","0.405","0.383","0.322","70","206","89.2","15.7","2273","89.5","89.36","0","210","0","-0.1","6.12","106","150","116","144","302","322","293"
"13",593528,"Jorge Bonifacio","81","16.0","0.538","0.231","0.538","0.769","0.559","0.345","0.337","7","13","89.2","15.3","2083","86.6","86.80","0","13","0","0.2","6.27","103","155","119","144","294","312","278"
"194",571771,"Enrique Hernandez","1150","16.9","0.288","0.257","0.232","0.545","0.345","0.366","0.312","55","191","89.1","18.3","2236","89.1","88.90","0","194","0","-0.2","6.02","108","151","115","146","302","322","297"
"130",608348,"Carson Kelly","796","16.3","0.357","0.326","0.306","0.682","0.433","0.348","0.300","46","129","89.1","14.0","2309","88.9","88.56","0","130","0","-0.3","5.98","109","150","116","145","307","325","291"
"3",608344,"Cole Irvin","31","9.7","0.333","0.000","0.333","0.333","0.293","0.186","0.191","1","3","89.1","1.7","2191","87.6","86.99","0","3","0","-0.6","6.07","124","156","119","151","278","301","294"
"210",594777,"Kole Calhoun","1232","17.0","0.308","0.322","0.244","0.630","0.389","0.413","0.334","64","208","89.1","16.2","2218","88.5","87.98","0","210","0","-0.5","5.94","114","155","121","152","297","324","305"
"250",608324,"Alex Bregman","1512","16.5","0.322","0.318","0.250","0.641","0.397","0.365","0.325","79","245","89.1","19.5","2208","89.4","88.88","0","250","0","-0.5","5.99","105","151","117","145","297","326","293"
"1",456034,"David Price","4","25.0","1.000","0.000","1.000","1.000","0.880","0.091","0.124","1","1","89.1","-10.0","2267","92.4","92.49","0","1","0","0.1","6.21","86","151","95","154","263","301","286"
"20",641933,"Tyler O'Neill","149","13.4","0.500","0.250","0.474","0.750","0.534","0.351","0.316","10","20","89.0","18.8","2351","89.9","89.76","0","20","0","-0.1","6.13","105","149","113","144","306","323","301"
"89",649557,"Aledmys Diaz","375","23.7","0.329","0.259","0.274","0.588","0.370","0.338","0.299","28","85","89.0","9.6","2205","87.4","86.80","0","89","0","-0.6","6.00","106","151","114","145","293","326","290"
"108",592192,"Mark Canha","733","14.7","0.311","0.377","0.227","0.689","0.410","0.347","0.268","33","106","89.0","21.7","2244","88.6","88.13","0","108","0","-0.5","5.94","106","152","118","146","300","324","293"
"189",466320,"Melky Cabrera","760","24.9","0.346","0.138","0.332","0.484","0.356","0.319","0.318","65","188","89.0","8.1","2207","88.2","87.87","0","189","0","-0.3","5.97","113","151","117","149","294","320","297"
"39",594838,"Phil Gosselin","195","20.0","0.308","0.077","0.308","0.385","0.299","0.400","0.361","12","39","89.0","12.7","2162","90.8","90.85","0","39","0","0.0","6.15","108","150","111","145","305","319","290"
"175",598265,"Jackie Bradley Jr.","1115","15.7","0.316","0.240","0.280","0.556","0.366","0.380","0.335","54","171","89.0","9.5","2201","88.3","87.89","0","175","0","-0.4","5.99","111","147","115","150","285","324","305"
"86",493596,"Gordon Beckham","575","15.0","0.314","0.267","0.289","0.581","0.375","0.384","0.321","27","86","89.0","14.8","2256","89.8","89.07","0","86","0","-0.7","5.85","110","152","116","149","296","322","284"
"163",457763,"Buster Posey","832","19.6","0.290","0.154","0.275","0.444","0.311","0.343","0.300","47","162","89.0","12.4","2216","88.7","88.27","0","163","0","-0.4","5.94","109","153","120","147","305","321","290"
"44",518586,"Charlie Culberson","253","17.4","0.442","0.372","0.390","0.814","0.515","0.411","0.386","19","43","89.0","14.6","2156","88.7","88.27","0","44","0","-0.4","5.91","105","147","112","144","308","322","287"
"216",518792,"Jason Heyward","1154","18.7","0.336","0.229","0.294","0.565","0.379","0.346","0.333","72","214","89.0","12.3","2236","89.7","89.42","0","216","0","-0.3","6.05","118","155","116","150","294","323","303"
"220",405395,"Albert Pujols","1069","20.6","0.271","0.229","0.217","0.500","0.317","0.348","0.293","58","214","88.9","14.1","2250","88.9","88.43","0","220","0","-0.5","5.99","106","153","122","147","308","325","298"
"176",543257,"Robbie Grossman","935","18.8","0.297","0.177","0.275","0.474","0.326","0.348","0.328","52","175","88.9","13.9","2250","90.3","89.86","0","176","0","-0.4","5.95","114","148","112","150","287","319","298"
"37",642731,"Thairo Estrada","181","20.4","0.389","0.333","0.333","0.722","0.469","0.391","0.344","14","36","88.9","9.1","2363","88.3","87.85","0","37","0","-0.4","5.90","106","149","111","146","303","319","283"
"128",523253,"Logan Forsythe","1013","12.6","0.389","0.214","0.368","0.603","0.415","0.408","0.372","49","126","88.9","13.5","2248","88.3","87.89","0","128","0","-0.4","5.99","107","150","115","145","301","319","289"
"32",541600,"Wilfredo Tovar","191","16.8","0.250","0.125","0.250","0.375","0.266","0.283","0.282","8","32","88.9","1.3","2175","86.8","86.08","0","32","0","-0.7","5.84","100","151","111","147","305","314","279"
"56",642336,"Francisco Mejia","303","18.5","0.291","0.218","0.259","0.509","0.331","0.355","0.299","16","55","88.9","15.6","2218","88.3","87.90","0","56","0","-0.4","5.99","111","148","117","147","297","322","296"
"224",657077,"Alex Verdugo","1077","20.8","0.342","0.224","0.307","0.566","0.377","0.346","0.321","75","219","88.9","8.5","2227","88.0","87.70","0","224","0","-0.3","5.97","114","149","116","150","296","321","304"
"117",665487,"Fernando Tatis Jr.","736","15.9","0.487","0.400","0.430","0.887","0.569","0.430","0.348","56","115","88.9","5.1","2197","89.4","89.08","0","117","0","-0.3","5.98","106","150","109","146","308","327","299"
"203",621311,"David Dahl","1162","17.5","0.447","0.320","0.403","0.766","0.500","0.452","0.385","88","197","88.9","11.9","2214","88.9","88.76","0","203","0","-0.1","5.95","116","151","119","150","302","330","310"
"174",606132,"Raimel Tapia","948","18.4","0.368","0.253","0.345","0.621","0.417","0.359","0.334","64","174","88.9","9.4","2174","88.4","88.25","0","174","0","-0.2","5.91","113","149","108","150","295","326","308"
"274",493329,"Yuli Gurriel","1098","25.0","0.301","0.175","0.274","0.476","0.324","0.313","0.309","81","269","88.9","15.7","2221","88.7","88.15","0","274","0","-0.5","5.95","106","151","118","146","295","326","294"
"60",475582,"Ryan Zimmerman","379","15.8","0.288","0.203","0.246","0.492","0.325","0.304","0.272","17","59","88.9","7.9","2282","89.5","89.14","0","60","0","-0.4","6.03","107","151","119","148","306","322","295"
"32",434670,"Hanley Ramirez","230","13.9","0.281","0.219","0.233","0.500","0.331","0.363","0.316","9","32","88.9","6.3","2244","86.6","85.84","0","32","0","-0.8","5.80","110","153","119","146","302","325","294"
"2",606131,"Luis Perdomo","2","100.0","0.500","0.000","0.500","0.500","0.440","0.342","0.407","1","2","88.9","-28.0","2258","92.8","92.25","0","2","0","-0.6","5.95","100","134","87","131","297","310","287"
"212",641313,"Tim Anderson","956","22.2","0.406","0.222","0.373","0.627","0.441","0.413","0.368","86","212","88.9","9.2","2234","88.2","87.90","0","212","0","-0.3","6.02","107","151","111","145","302","321","289"
"228",572039,"Stephen Piscotty","1235","18.5","0.316","0.196","0.284","0.511","0.348","0.364","0.312","71","225","88.8","12.6","2280","88.6","88.16","0","228","0","-0.4","5.97","108","151","118","146","302","325","293"
"205",571970,"Max Muncy","1402","14.6","0.386","0.371","0.314","0.757","0.474","0.459","0.385","78","202","88.8","13.2","2176","87.8","87.58","0","205","0","-0.2","5.99","115","153","124","153","300","325","306"
"38",488671,"Alex Avila","318","11.9","0.342","0.447","0.242","0.789","0.472","0.410","0.342","13","38","88.8","5.3","2108","89.0","88.82","0","38","0","-0.2","6.06","114","165","128","150","298","325","309"
"32",592407,"Bryan Holaday","185","17.3","0.387","0.226","0.345","0.613","0.427","0.281","0.283","12","31","88.8","8.6","2257","89.7","89.40","0","32","0","-0.3","6.09","108","151","115","145","302","314","285"
"85",543305,"Aaron Hicks","586","14.5","0.289","0.229","0.238","0.518","0.333","0.343","0.296","24","83","88.8","12.8","2232","91.1","90.89","0","85","0","-0.2","6.05","109","154","117","149","303","325","296"
"224",592178,"Kris Bryant","1318","17.0","0.368","0.318","0.317","0.686","0.442","0.411","0.342","82","223","88.7","18.1","2278","89.4","89.07","0","224","0","-0.3","5.97","107","152","117","145","301","326","298"
"16",621466,"DJ Stewart","106","15.1","0.250","0.000","0.250","0.250","0.220","0.309","0.297","4","16","88.7","8.3","2314","88.8","88.41","0","16","0","-0.4","6.01","114","161","119","151","294","322","299"
"267",516770,"Starlin Castro","1271","21.0","0.279","0.095","0.260","0.374","0.276","0.320","0.296","73","262","88.7","9.3","2254","89.3","88.94","0","267","0","-0.4","6.06","109","151","116","146","305","319","287"
"133",553869,"Elias Diaz","688","19.3","0.333","0.098","0.326","0.432","0.327","0.304","0.302","44","132","88.7","7.1","2230","88.9","88.57","0","133","0","-0.3","6.00","108","151","117","147","304","320","289"
"182",572821,"Brian Dozier","1160","15.7","0.320","0.271","0.271","0.591","0.383","0.367","0.302","58","181","88.6","18.3","2257","90.1","89.84","0","182","0","-0.3","6.03","106","151","115","145","302","323","299"
"148",656308,"Michael Chavis","1024","14.5","0.419","0.297","0.368","0.716","0.482","0.428","0.360","62","148","88.6","11.3","2232","88.3","87.84","0","148","0","-0.5","5.98","105","151","119","145","290","326","302"
"114",543768,"Travis Shaw","920","12.4","0.263","0.202","0.222","0.465","0.308","0.359","0.303","30","114","88.6","21.7","2249","88.1","87.70","0","114","0","-0.4","6.01","118","163","126","151","297","321","300"
"229",592206,"Nicholas Castellanos","1233","18.6","0.361","0.242","0.335","0.604","0.405","0.411","0.345","82","227","88.6","15.8","2257","88.1","87.50","0","229","0","-0.6","5.87","106","151","120","146","303","328","291"
"72",573262,"Mike Yastrzemski","440","16.4","0.352","0.282","0.299","0.634","0.410","0.378","0.323","25","71","88.6","17.1","2152","89.2","88.71","0","72","0","-0.5","5.87","110","150","109","149","291","322","304"
